selected_rate,positive_rate,maximum_possible_f1
0.01,0.3950098752468812,0.04938151196389628
0.02,0.3950098752468812,0.09638324865451645
0.03,0.3950098752468812,0.14117319030562994
0.04,0.3950098752468812,0.18390387104338168
0.05,0.3950098752468812,0.2247141143654898
0.060000000000000005,0.3950098752468812,0.26373053977101024
0.06999999999999999,0.3950098752468812,0.3010688749903897
0.08,0.3950098752468812,0.33683510246358933
0.09,0.3950098752468812,0.3711264639887504
0.09999999999999999,0.3950098752468812,0.40403234359769485
0.11,0.3950098752468812,0.4356350455373767
0.12,0.3950098752468812,0.46601048161445596
0.13,0.3950098752468812,0.49522877998768566
0.14,0.3950098752468812,0.5233548256857755
0.15000000000000002,0.3950098752468812,0.5504487416197819
0.16,0.3950098752468812,0.5765663175950818
0.17,0.3950098752468812,0.6017593937653513
0.18000000000000002,0.3950098752468812,0.6260762040746406
0.19,0.3950098752468812,0.6495616844752158
0.2,0.3950098752468812,0.6722577500651266
0.21000000000000002,0.3950098752468812,0.694203544741504
0.22,0.3950098752468812,0.7154356664978305
0.23,0.3950098752468812,0.7359883710930141
0.24000000000000002,0.3950098752468812,0.7558937564764391
0.25,0.3950098752468812,0.7751819300574618
0.26,0.3950098752468812,0.7938811606527394
0.27,0.3950098752468812,0.8120180167242299
0.28,0.3950098752468812,0.8296174923295501
0.29000000000000004,0.3950098752468812,0.8467031220403428
0.3,0.3950098752468812,0.8632970859397762
0.31,0.3950098752468812,0.8794203056842114
0.32,0.3950098752468812,0.8950925325038602
0.33,0.3950098752468812,0.9103324279207315
0.34,0.3950098752468812,0.9251576378774448
0.35000000000000003,0.3950098752468812,0.9395848608960172
0.36000000000000004,0.3950098752468812,0.953629910820129
0.37,0.3950098752468812,0.9673077746364908
0.38,0.3950098752468812,0.9806326658197746
0.39,0.3950098752468812,0.9936180736002771
0.4,0.3950098752468812,1.0
0.41000000000000003,0.3950098752468812,1.0
0.42000000000000004,0.3950098752468812,1.0
0.43,0.3950098752468812,1.0
0.44,0.3950098752468812,1.0
0.45,0.3950098752468812,1.0
0.46,0.3950098752468812,1.0
0.47000000000000003,0.3950098752468812,1.0
0.48000000000000004,0.3950098752468812,1.0
0.49,0.3950098752468812,1.0
0.5,0.3950098752468812,1.0
0.51,0.3950098752468812,1.0
0.52,0.3950098752468812,1.0
0.53,0.3950098752468812,1.0
0.54,0.3950098752468812,1.0
0.55,0.3950098752468812,1.0
0.56,0.3950098752468812,1.0
0.5700000000000001,0.3950098752468812,1.0
0.5800000000000001,0.3950098752468812,1.0
0.59,0.3950098752468812,1.0
0.6,0.3950098752468812,1.0
0.61,0.3950098752468812,1.0
0.62,0.3950098752468812,1.0
0.63,0.3950098752468812,1.0
0.64,0.3950098752468812,1.0
0.65,0.3950098752468812,1.0
0.66,0.3950098752468812,1.0
0.67,0.3950098752468812,1.0
0.68,0.3950098752468812,1.0
0.6900000000000001,0.3950098752468812,1.0
0.7000000000000001,0.3950098752468812,1.0
0.7100000000000001,0.3950098752468812,1.0
0.72,0.3950098752468812,1.0
0.73,0.3950098752468812,1.0
0.74,0.3950098752468812,1.0
0.75,0.3950098752468812,1.0
0.76,0.3950098752468812,1.0
0.77,0.3950098752468812,1.0
0.78,0.3950098752468812,1.0
0.79,0.3950098752468812,1.0
0.8,0.3950098752468812,1.0
